Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Registration,Eligibility,Dispute Resolution,Compliance Review,Monitoring
Barrio Improvement- Program II Promeba II,Barrio Improvement- Program II Promeba II,Argentina,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-AR-2013-055,Closed Without Results,,,,Other,,1/1/13,,,,
Barro Blanco / 14-0002,Barro Blanco / 14-0002,Panama,Netherlands Development Finance Company Independent Complaints Mechanism (FMO ICM),Netherlands Development Finance Company,14-0002,Monitoring,"Cacica General of the Comarca Ngabe-Bugle, Movimiento 10 de Abril",Project/investment lending,Energy,"Biodiversity, Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Human rights, Indigenous peoples, Water",,5/5/14,,6/17/14,,6/17/14
Barro Blanco Hydroelectric,Barro Blanco Hydroelectric,Panama,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2009/11,Closed Without Results,"ACD, Asociacion Ambientalista de Chiriqui (ASAMCI), Movement M-10 Tabasara",Project/investment lending,Energy,"Human rights, Other environmental",,12/11/09,,,,1/11/11
Bayport Colombia: Financial Inclusion for BOP Public Employees,Bayport Colombia: Financial Inclusion for BOP Public Employees,Colombia,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-CO-2015-0091,Closed Without Results,Unknown,Project/investment lending,"Community capacity and development, Other","Consultation and disclosure, Other",,3/7/15,8/7/15,,,
Belgrade By-Pass,Belgrade By-Pass,Serbia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2011/11,Closed With Results,Unknown,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Other retaliation (actual or feared)",,9/23/11,,10/7/11,,
Belgrade By-Pass - Highway Interchange Petlovo Brdo,Belgrade By-Pass - Highway Interchange Petlovo Brdo,Serbia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2014/04,Active,"Association ""Petlovo brdo""residents Belgrade",Project/investment lending,Infrastructure,Livelihoods,,3/3/14,,3/18/14,,
Belgrade Urban Renewal,Belgrade Urban Renewal,Serbia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2010/03,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Cultural heritage, Due diligence, Other environmental",,2/28/10,,,,1/26/11
Belgrade Urban Renewal 2,Belgrade Urban Renewal,Serbia,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2010/04,Closed Without Results,Save Belgrade platanus,Project/investment lending,Infrastructure,"Cultural heritage, Due diligence, Other environmental",,3/1/10,,,,2/15/11
Belstar-01,Belstar-01,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,5/1/13,,,,
Belstar-02,Belstar-02,India,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,10/1/13,,,,
Bidding of EDMS systems,Bidding of EDMS systems,Trinidad and Tobago,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-TT-2013-072,Closed Without Results,,,,Other,,11/1/13,,,,
Bilt Paper B.V-01/Sipitang,Bilt Paper B.V-01/Sipitang,Malaysia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,229,Closed Without Results,Unknown,"Equity Investment, Project/investment lending",Manufacturing,"Biodiversity, Displacement (physical and/or economic), Livelihoods, Other environmental, Water",,9/13/14,,10/14/17,,
Bilt Paper-02/Sipitang,Bilt Paper-02/Sipitang,Malaysia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,238,Active,"Building and Wood Workers International (BWI), Sabah Timber Industry Employees Union (STIEU)","Equity Investment, Project/investment lending",Manufacturing,"Human rights, Labor",,6/1/15,,6/15/17,,
Blumenau Urban Sustainable Mobility Program,Blumenau Urban Sustainable Mobility Program,Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2013-068,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Due diligence, Other community health and safety issues",,8/9/13,1/29/14,,,
"Blumenau Urban Sustainable Mobility Program, on behalf of 800 residents of the neighborhood of Ponta Aguda in Blumenau","Blumenau Urban Sustainable Mobility Program, on behalf of 800 residents of the neighborhood of Ponta Aguda in Blumenau",Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2014-078,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Pollution",,3/12/14,3/21/14,,,
Blumenau's Sustainable Urban Mobility Program,Blumenau's Sustainable Urban Mobility Program,Brazil,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-BR-2015-0093,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Cultural heritage, Other community health and safety issues, Other environmental",,8/21/15,8/26/15,,,
Bogota Urban Services Project,Bogota Urban Services Project,Colombia,World Bank Inspection Panel (WB Panel),World Bank,52,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Other environmental, Other retaliation (actual or feared)",,10/30/07,10/31/07,,,
Bolivia Coeur d'Alene Mines,Bolivia Coeur d'Alene Mines,Bolivia,Overseas Private Investment Corporation Office of Accountability (OPIC OA),Overseas Private Investment Corporation,bolivia-coeur-d-alene-mines,Closed With Results,Ayllu Jesus de Machaca,Risk Guarantee,"Extractives (oil, gas, mining)","Due diligence, Indigenous peoples, Livelihoods",,4/24/08,,5/8/17,,9/1/08
Boskov Most Hydro Power,Boskov Most Hydro Power,Macedonia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2011/05,Monitoring,Eko-svest,Project/investment lending,Energy,"Biodiversity, Due diligence",,11/7/11,11/14/11,5/14/12,,5/14/12
Boulevard Turistico del Atlantico,Boulevard Turistico del Atlantico,Dominican Republic,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-DR-2011-076,Closed Without Results,,,,Other,,10/1/11,,,,
Brenner Base Tunnel,Brenner Base Tunnel,Austria,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2010/13,Closed Without Results,Unknown,,,Due diligence,,9/28/10,,,,11/26/12
Buchanan Renewables Biomass,Buchanan Renewables Biomass,Liberia,Overseas Private Investment Corporation Office of Accountability (OPIC OA),Overseas Private Investment Corporation,buchanan-renewables,Closed With Results,"Accountability Counsel, Green Advocates",Project/investment lending,"Agribusiness, Energy","Due diligence, Gender-based violence, Human rights, Labor, Livelihoods, Other community health and safety issues, Other environmental, Other retaliation (actual or feared), Pollution, Water",,1/22/14,,,,2/20/14
Bucharest Metro Line 5,Bucharest Metro Line 5,Romania,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2011/06,Closed With Results,Unknown,Project/investment lending,Infrastructure,"Cultural heritage, Displacement (physical and/or economic)",,4/29/11,5/18/11,5/18/10,,
Bujagali Energy-04/Bujagali,Bujagali Energy-04/Bujagali,Uganda,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,164,Active,Unknown,"Project/investment lending, Risk Guarantee","Energy, Infrastructure","Consultation and disclosure, Labor, Other retaliation (actual or feared)",,3/21/11,,3/22/11,12/1/11,4/15/17
Bujagali Energy-05/Bujagali,Bujagali Energy-05/Bujagali,Uganda,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,172,Monitoring,Unknown,"Project/investment lending, Risk Guarantee","Energy, Infrastructure","Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Property damage",,5/16/11,,6/11/17,12/1/11,
Bujagali Energy-06/Bujagali,Bujagali Energy-06/Bujagali,Uganda,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,199,Active,Informal association of former Bujagali construction workers,"Project/investment lending, Risk Guarantee","Energy, Infrastructure",Labor,,4/3/13,,4/13/17,11/1/13,4/15/17
Bujagali Energy-07/Bujagali,Bujagali Energy-07/Bujagali,Uganda,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,230,Active,Unknown,"Project/investment lending, Risk Guarantee",Energy,Other,,2/3/15,,2/15/17,,
Bujagali Hydroelectric,Bujagali Hydroelectric,Uganda,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2009/09,Closed With Results,National Association of Professional Environmentalists (NAPE),Project/investment lending,"Energy, Infrastructure","Cultural heritage, Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental",,12/2/09,,,,5/15/12
Bujagali Hydropower Project and Bujagali Interconnection Project,Bujagali Hydropower Project and Bujagali Interconnection Project,Uganda,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,RQ 2007/1,Monitoring,Ugandan National Association of Professional Environmentalists (NAPE),Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other community health and safety issues, Water",,5/16/07,6/4/07,8/24/07,,9/7/07
Bujagali-01/ Bujagali Falls,Bujagali-01/ Bujagali Falls,Uganda,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,National Association of Professional Environmentalists (NAPE),Project/investment lending,"Energy, Infrastructure",,,11/1/00,,,,
Bujagali-02/Bujagali Falls,Bujagali-02/Bujagali Falls,Uganda,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,114,Closed Without Results,"National Association of Professional Environmentalists (NAPE), Save Bujagali Crusade","Project/investment lending, Risk Guarantee","Energy, Infrastructure","Consultation and disclosure, Corruption/fraud, Cultural heritage, Displacement (physical and/or economic), Due diligence, Other",,6/19/01,,6/1/17,,
Bujagali-03/Canada,Bujagali-03/Canada,Uganda,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,115,Closed Without Results,Unknown,"Project/investment lending, Risk Guarantee","Energy, Infrastructure","Cultural heritage, Indigenous peoples",,7/1/01,,7/1/17,,
Bujagali-hydroelectric,Bujagali-hydroelectric,Uganda,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,,Closed With Results,Association Sherpa,Project/investment lending,"Energy, Infrastructure",Consultation and disclosure,,2/24/09,,,,
Bulyanhulu Project-01,Bulyanhulu Project-01,Tanzania,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,113,Closed Without Results,Lawyers Environmental Action Team,Risk Guarantee,"Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Human rights, Other community health and safety issues",,1/1/02,,,,
Burapha,Burapha,Laos,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,2/1/12,,,,
CAMIF-01/ Intibuca,CAMIF-01/ Intibuca,Honduras,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,208,Closed Without Results,Consejo Civico de Organizaciones Populares e Indigenas de Honduras (COPINH),Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Human rights, Indigenous peoples, Livelihoods, Violence against the community (by gov't and/or company), Water",,10/9/13,,,,
CAREC Corridor 1 (Bishkek-Torugart Road) Project 3,CAREC Corridor 1 (Bishkek-Torugart Road) Project 3,Kyrgyz Republic,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,5,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other community health and safety issues",,6/25/13,6/25/13,,,
CAREC Transport Corridor 1 (Bishkek-Torugart Road) Project 1,CAREC Transport Corridor 1 (Bishkek-Torugart Road) Project 1,Kyrgyz Republic,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed With Results,Unknown,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods",,9/7/10,9/22/10,11/12/10,12/14/10,7/20/11
CAREC Transport Corridor I Investment Program,CAREC Transport Corridor I Investment Program,Kazakhstan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed With Results,"DYUK Public Union, Taraz Press Club Union",Project/investment lending,Infrastructure,"Consultation and disclosure, Livelihoods",,11/5/09,11/10/09,12/3/09,8/2/10,
CAREC Transport Corridor I Investment Program 2,CAREC Transport Corridor I Investment Program,Kazakhstan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,Unknown,Project/investment lending,Infrastructure,Other,,6/4/10,6/14/10,,,
CAREC Transport Corridor I Investment Program 3,CAREC Transport Corridor I Investment Program,Kazakhstan,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Project/investment lending,Infrastructure,"Livelihoods, Water",,12/20/11,12/21/11,,,
CIFI-01/Santa Cruz,CIFI-01/Santa Cruz,Guatemala,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,241,Active,Unknown,"Financial intermediary, Project/investment lending","Energy, Infrastructure","Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Indigenous peoples, Livelihoods, Other community health and safety issues, Violence against the community (by gov't and/or company), Water",,7/15/15,,8/15/17,,
Cadastral and Property Registry Regularization Program,Cadastral and Property Registry Regularization Program,Costa Rica,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-CR-2011-029,Closed Without Results,,,,Other,,10/1/11,,,,
Cairo Metro Line 3 (Phase 3),Cairo Metro Line 3 (Phase 3),Egypt,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2012/12,Closed Without Results,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other community health and safety issues",,1/5/12,,,,
Cairo Metro Line 3 (Phase 3) 2,Cairo Metro Line 3 (Phase 3),Egypt,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2015/01,Closed Without Results,Unknown,Project/investment lending,Infrastructure,Due diligence,,12/30/14,,,,
Cambodia Airport II-01/Preah Sihanouk,Cambodia Airport II-01/Preah Sihanouk,Cambodia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,155,Closed With Results,Unknown,Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Other environmental, Pollution",,12/11/09,,1/10/17,8/1/10,
Cambodia Airports-01/Phnom Penh,Cambodia Airports-01/Phnom Penh,Cambodia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,205,Active,Unknown,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence",,6/7/13,,6/13/17,1/1/14,
Capacity Development of National Capital Region Planning Board (NCRPB),Capacity Development of National Capital Region Planning Board (NCRPB),Unknown,Asian Development Bank Special Project Facilitator and Compliance Review Panel (ADB SPF CRP),Asian Development Bank,,Closed Without Results,,Advisory services,"Infrastructure, Regulatory Development",,,2/22/13,2/25/13,,,
CariSal,CariSal,Trinidad and Tobago,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-TT-2012-039,Closed Without Results,,,,Other,,4/1/12,,,,
"Cartagena Water Supply, Sewerage and Environmental Management Project","Cartagena Water Supply, Sewerage and Environmental Management Project",Colombia,World Bank Inspection Panel (WB Panel),World Bank,31,Closed With Results,Corporacion Cartagena Honesta,Project/investment lending,"Conservation and environmental protection, Infrastructure","Biodiversity, Consultation and disclosure, Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Pollution, Water",,4/20/04,4/22/04,6/22/04,,6/22/04
Castor Underground Gas Storage,Castor Underground Gas Storage,Spain,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2013/12,Active,Plataforma Ciutadana en Defensa de les Terres del Senia,Project/investment lending,"Energy, Infrastructure","Due diligence, Other, Other community health and safety issues",,12/4/13,,12/13/13,,2/4/15
Celulosas de M'Bopicua (CMB) & Orion-01/Argentina & Uruguay,Celulosas de M'Bopicua (CMB) & Orion-01/Argentina & Uruguay,"Argentina, Uruguay",IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,117,Closed With Results,Centro de Derechos Humanos y Ambiente (CEDHA),Project/investment lending,Manufacturing,"Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Pollution",,9/1/05,,9/23/05,,11/5/17
